animal;time;glucose;diet
1;0;5.4;CD
1;15;17.5;CD
1;30;17.9;CD
1;60;12.9;CD
1;90;15.3;CD
1;120;10.4;CD
2;0;6.3;CD
2;15;14.3;CD
2;30;10.7;CD
2;60;10.1;CD
2;90;9.6;CD
2;120;9.3;CD
3;0;7.1;CD
3;15;19.1;CD
3;30;11.9;CD
3;60;10.9;CD
3;90;12.4;CD
3;120;7.9;CD
4;0;5.1;CD
4;15;20.4;CD
4;30;20.4;CD
4;60;9;CD
4;90;9.1;CD
4;120;8.1;CD
5;0;8;HF
5;15;16.3;HF
5;30;18.4;HF
5;60;8.2;HF
5;90;10.2;HF
5;120;8.8;HF
6;0;5.8;HF
6;15;12.7;HF
6;30;14.9;HF
6;60;10.7;HF
6;90;9.2;HF
6;120;8.9;HF
7;0;7.1;HF
7;15;15;HF
7;30;13.4;HF
7;60;9.4;HF
7;90;8.4;HF
7;120;8.5;HF
8;0;6;HF
8;15;19.4;HF
8;30;14.2;HF
8;60;9.6;HF
8;90;6.9;HF
8;120;6.7;HF
